Matrix Dimension, Normal SMM, Recursive SMM, Strassen SMM
12, 5.53e-05, 0.0074317, 0.0063105
45, 0.0006952, 0.236622, 0.279187
69, 0.0024757, 1.95989, 1.91354
101, 1.0106821, 1.94566, 1.91964
154, 1.0281193, 15.373, 13.335
203, 2.062251, 15.3843, 13.4825
317, 2.23953, 124.83, 100.43
420, 3.56855, 124.17, 93.9251
487, 3.88474, 123.833, 93.8308
556, 5.30366, 980.925, 665.158
678, 8.40413, 993.936, 662.067
721, 17.8909, 998.873, 681.99
889, 33.5009, 1003.66, 694.681
912, 41.9749, 1119.67, 722.189
1000, 78.7834, 1075.92, 749.763
1011, 100.805, 1112.76, 735.981
1176, 133.450, 4960.32, 1256.921
1298, 167.300, 4985.67, 1285.314
1425, 210.250, 5012.48, 1220.852
1553, 364.300, 4958.94, 1168.924
1682, 429.500, 5001.22, 1322.457
1799, 604.850, 4998.84, 1276.580
1818, 718.920, 4912.57, 1308.382
1907, 839.783, 5098.22, 1320.78
2045, 995.847, 5151.61, 1369.53
3301, 2750.12, 0, 3540.72
4089, 3400.89, 0, 3650.77